texmf-dist/tex/latex/exam-zh/exam-zh.cls:584:10:584:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:584:14:584:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:584:15:584:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:584:16:584:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:584:25:584:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:584:26:584:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:584:27:584:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:584:28:584:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:587:1:587:91: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:587:61:587:89: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:587:90:587:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:597:1:597:106: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:597:61:597:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:597:66:597:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:597:67:597:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:597:76:597:104: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:597:105:597:105: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:605:10:605:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:605:14:605:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:605:15:605:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:605:16:605:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:605:25:605:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:605:26:605:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:605:27:605:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:605:28:605:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:608:1:608:91: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:608:61:608:89: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:608:90:608:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:617:1:617:113: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:617:68:617:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:617:73:617:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:617:74:617:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:617:83:617:111: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:617:112:617:112: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:628:37:628:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:643:33:643:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:731:32:731:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:821:1:821:83: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:824:1:824:83: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:828:1:828:81: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:905:1:905:100: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:906:1:906:102: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:973:1:973:81: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:974:1:974:83: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1013:38:1013:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1013:39:1013:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1013:56:1013:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1013:61:1013:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1024:22:1024:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1024:23:1024:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1024:26:1024:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1024:46:1024:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1024:47:1024:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1024:50:1024:50: s204 missing stylistic whitespaces
