texmf-dist/tex/latex/nicetext/fifinddo.sty:118:16:118:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:119:26:119:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:119:43:119:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:119:44:119:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:121:50:121:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:121:51:121:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:121:52:121:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:123:13:123:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:123:31:123:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:123:32:123:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:124:24:124:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:125:14:125:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:127:23:127:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:127:40:127:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:127:41:127:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:127:42:127:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:157:13:157:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:157:31:157:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:157:36:157:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:157:37:157:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:162:19:162:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:162:27:162:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:162:28:162:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:162:29:162:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:162:47:162:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:162:48:162:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:163:29:163:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:163:38:163:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:163:39:163:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:165:14:165:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:165:40:165:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:165:41:165:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:230:13:230:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:230:24:230:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:230:25:230:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:231:13:231:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:231:63:231:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:231:64:231:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:232:63:232:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:232:64:232:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:233:13:233:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:233:26:233:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:233:27:233:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:233:32:233:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:233:33:233:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:234:25:234:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:234:29:234:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:234:53:234:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:234:54:234:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:234:55:234:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:234:56:234:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:242:13:242:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:242:24:242:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:246:13:246:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:246:32:246:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:246:33:246:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:246:34:246:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:247:60:247:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:272:13:272:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:272:36:272:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:272:37:272:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:364:1:364:83: s103 line too long
texmf-dist/tex/latex/nicetext/fifinddo.sty:440:13:440:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:440:28:440:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:440:31:440:31: s204 missing stylistic whitespaces
